userName,ExperimentState,ReflectionPhasePart,condition,elapsedTime,headsetPosX,headsetPosY,headsetPosZ,ControllerLeftPosX,ControllerLeftPosY,ControllerLeftPosZ,ControllerRightPosX,ControllerRightPosY,ControllerRightPosZ,headsetRotEulerX,headsetRotEulerY,headsetRotEulerZ,headsetRotInspectorX,headsetRotInspectorY,headsetRotInspectorZ,controllerLeftRotEulerX,controllerLeftRotEulerY,controllerLeftRotEulerZ,controllerLeftRotInspectorX,controllerLeftRotInspectorY,controllerLefttRotInspectorZ,controllerRightRotEulerX,controllerRightRotEulerY,controllerRightRotEulerZ,controllerRightRotInspectorX,controllerRightRotInspectorY,controllerRighttRotInspectorZ,rawSliderValue,convertedSliderValue,button,side,status
Andi,Reflective,Intro,Tabletop,5.159649,-1.227159,0.6015402,-0.7016436,-1.224021,0.6180221,-0.9962878,0,0,0,350.9885,249.8981,4.846094,-9.012,-110.102,4.846,344.4817,240.3179,29.08503,-15.518,-119.682,29.085,0,0,0,0,0,0,1,988.6462,,,
Andi,Reflective,Intro,Tabletop,5.293139,-1.227171,0.6016229,-0.7014167,-1.224223,0.617848,-0.9964936,0,0,0,350.999,249.9008,4.84631,-9.001,-110.099,4.846,344.4846,240.3303,29.08582,-15.515,-119.67,29.086,0,0,0,0,0,0,1,988.6462,,,
Andi,Reflective,Intro,Tabletop,5.430483,-1.227183,0.6017019,-0.7011048,-1.224291,0.6176978,-0.9963055,0,0,0,350.9899,249.9155,4.838794,-9.01,-110.084,4.839,344.4791,240.3275,29.08475,-15.521,-119.672,29.085,0,0,0,0,0,0,1,988.6462,,,
Andi,Reflective,Intro,Tabletop,5.578402,-1.227055,0.6018953,-0.7013698,-1.224493,0.6176349,-0.9974377,0,0,0,350.9931,249.9173,4.846817,-9.007,-110.083,4.847,344.4946,240.3224,29.08925,-15.505,-119.678,29.089,0,0,0,0,0,0,1,988.6462,,,
Andi,Reflective,Intro,Tabletop,5.719012,-1.226965,0.6019539,-0.7010207,-1.224233,0.6176447,-0.9970796,0,0,0,350.994,249.9153,4.837402,-9.006001,-110.085,4.837,344.4908,240.3173,29.0884,-15.509,-119.683,29.088,0,0,0,0,0,0,1,988.6462,,,
Andi,Reflective,Intro,Tabletop,5.853921,-1.227147,0.6019773,-0.7008166,-1.224487,0.6174442,-0.9975431,0,0,0,350.9775,249.9204,4.828424,-9.022,-110.08,4.828,344.4879,240.3134,29.09518,-15.512,-119.687,29.095,0,0,0,0,0,0,1,988.6462,,,
Andi,Reflective,Intro,Tabletop,5.993178,-1.227048,0.6019909,-0.7008063,-1.224252,0.6175125,-0.99703,0,0,0,350.9905,249.9258,4.820586,-9.009001,-110.074,4.821,344.4811,240.3158,29.09144,-15.519,-119.684,29.091,0,0,0,0,0,0,1,988.6462,,,
Andi,Reflective,Intro,Tabletop,6.123895,-1.227071,0.6020415,-0.7008034,-1.224435,0.617499,-0.9975059,0,0,0,350.9936,249.9157,4.816503,-9.006001,-110.084,4.817,344.4924,240.318,29.08975,-15.508,-119.682,29.09,0,0,0,0,0,0,1,988.6462,,,
Andi,Reflective,Intro,Tabletop,6.266606,-1.22714,0.6020702,-0.7004983,-1.224686,0.6176444,-0.9970849,0,0,0,350.983,249.9352,4.814211,-9.017,-110.065,4.814,344.4928,240.3218,29.0835,-15.507,-119.678,29.084,0,0,0,0,0,0,1,988.6462,,,
Andi,Reflective,Intro,Tabletop,6.41155,-1.226838,0.6020449,-0.7003723,-1.22414,0.6177185,-0.9967427,0,0,0,350.9677,249.9396,4.822211,-9.032001,-110.06,4.822,344.4806,240.3171,29.0926,-15.519,-119.683,29.093,0,0,0,0,0,0,1,988.6462,,,
