userName,ExperimentState,ReflectionPhasePart,condition,elapsedTime,distanceTraveled,headsetPosX,headsetPosY,headsetPosZ,ControllerLeftPosX,ControllerLeftPosY,ControllerLeftPosZ,ControllerRightPosX,ControllerRightPosY,ControllerRightPosZ,headsetRotEulerX,headsetRotEulerY,headsetRotEulerZ,headsetRotInspectorX,headsetRotInspectorY,headsetRotInspectorZ,controllerLeftRotEulerX,controllerLeftRotEulerY,controllerLeftRotEulerZ,controllerLeftRotInspectorX,controllerLeftRotInspectorY,controllerLefttRotInspectorZ,controllerRightRotEulerX,controllerRightRotEulerY,controllerRightRotEulerZ,controllerRightRotInspectorX,controllerRightRotInspectorY,controllerRighttRotInspectorZ,rawSliderValue,convertedSliderValue,isKidneyVisible,ToggleHead,ToggleRight,ToggleLeft,ToggleTissue,TaskVisible1,TaskVisible2,TaskVisible3,TaskVisible4,TaskVisible5,TaskVisible6,TaskVisible7,TaskVisible8,TaskVisible9,TaskVisible10,TaskVisible11,TaskVisible12,TaskVisible13,TaskVisible14,
Andi,Reflective,Intro,Standup,3.198272,4.696006,-0.8070807,1.68496,0.3584656,-0.4855273,1.36991,0.3790281,-0.412986,1.331533,0.3101234,9.87949,82.01482,357.7322,9.879001,82.01501,-2.268,317.9621,54.16594,329.8294,-42.038,54.166,-30.171,333.891,99.04525,328.899,-26.109,99.04501,-31.101,1,708.7605,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,
Andi,Reflective,Intro,Standup,3.321608,4.717482,-0.8212147,1.677562,0.3724717,-0.5063347,1.359797,0.4204786,-0.4364034,1.338517,0.3400753,13.06379,83.20064,358.9859,13.064,83.201,-1.014,323.3823,50.01476,343.6894,-36.618,50.015,-16.311,330.4002,97.11926,340.7646,-29.6,97.119,-19.235,1,708.7605,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,
Andi,Reflective,Intro,Standup,3.447858,4.746283,-0.8310105,1.669707,0.3983039,-0.5309483,1.334317,0.4488399,-0.4649212,1.323731,0.3671529,15.97404,82.13572,1.513579,15.974,82.136,1.514,328.8369,48.55326,350.2187,-31.163,48.553,-9.781,329.4205,93.68779,350.7396,-30.58,93.688,-9.26,1,708.7605,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,
Andi,Reflective,Intro,Standup,3.5784,4.775048,-0.8397011,1.659153,0.423169,-0.5568507,1.295748,0.4640921,-0.4949208,1.293105,0.3785139,19.19005,79.46222,2.250832,19.19,79.46201,2.251,333.9208,49.74873,354.0058,-26.079,49.749,-5.994,330.41,91.90582,358.9319,-29.59,91.90601,-1.068,1,708.7605,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,
Andi,Reflective,Intro,Standup,3.70501,4.791722,-0.8504116,1.648698,0.4284827,-0.5841906,1.266499,0.4707979,-0.5213296,1.271037,0.3862844,24.70105,79.25892,3.080107,24.701,79.259,3.08,338.7148,47.90845,357.8363,-21.285,47.908,-2.164,331.6758,87.17774,6.034927,-28.324,87.178,6.035,1,708.7605,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,
Andi,Reflective,Intro,Standup,3.840281,4.810911,-0.863788,1.638635,0.419929,-0.608885,1.25184,0.4721782,-0.5409976,1.258907,0.3858581,28.86143,81.56224,4.436076,28.861,81.562,4.436,342.2881,45.9707,1.398074,-17.712,45.971,1.398,334.1757,84.70731,7.430134,-25.824,84.707,7.43,1,708.7605,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,
Andi,Reflective,Intro,Standup,3.961985,4.829029,-0.8772813,1.638071,0.407936,-0.6226181,1.242238,0.4731102,-0.5523815,1.250841,0.3796842,29.09667,80.97655,5.401045,29.097,80.97701,5.401,348.1512,46.98957,6.656372,-11.849,46.99,6.656,338.3394,84.79704,4.478866,-21.661,84.797,4.479,1,708.7605,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,
Andi,Reflective,Intro,Standup,4.095745,4.858556,-0.8943225,1.637914,0.3838843,-0.6343859,1.208433,0.470156,-0.5611739,1.233861,0.3435726,29.2728,77.08675,4.673203,29.273,77.08701,4.673,4.320324,60.28504,5.912071,4.32,60.285,5.912,346.1905,87.19034,355.3047,-13.81,87.19,-4.695,1,708.7605,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,
Andi,Reflective,Intro,Standup,4.219939,4.897532,-0.9113208,1.639247,0.3488989,-0.6548586,1.192807,0.4694793,-0.5664019,1.208598,0.276633,28.8712,72.14426,3.286781,28.871,72.144,3.287,3.651218,64.43478,4.805354,3.651,64.43501,4.805,351.7007,91.48603,349.5621,-8.299001,91.48601,-10.438,1,708.7605,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,
Andi,Reflective,Intro,Standup,4.352002,4.947092,-0.931196,1.643225,0.3037162,-0.6803226,1.218866,0.4863113,-0.5898355,1.135476,0.2192087,27.18706,64.87698,1.094808,27.187,64.87701,1.095,0.08342247,59.20754,6.343174,0.083,59.208,6.343,12.70772,79.6344,342.033,12.708,79.634,-17.967,1,708.7605,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,
