userName,ExperimentState,ReflectionPhasePart,condition,elapsedTime,distanceTraveled,headsetPosX,headsetPosY,headsetPosZ,ControllerLeftPosX,ControllerLeftPosY,ControllerLeftPosZ,ControllerRightPosX,ControllerRightPosY,ControllerRightPosZ,headsetRotEulerX,headsetRotEulerY,headsetRotEulerZ,headsetRotInspectorX,headsetRotInspectorY,headsetRotInspectorZ,controllerLeftRotEulerX,controllerLeftRotEulerY,controllerLeftRotEulerZ,controllerLeftRotInspectorX,controllerLeftRotInspectorY,controllerLefttRotInspectorZ,controllerRightRotEulerX,controllerRightRotEulerY,controllerRightRotEulerZ,controllerRightRotInspectorX,controllerRightRotInspectorY,controllerRighttRotInspectorZ,rawSliderValue,convertedSliderValue,isKidneyVisible,ToggleHead,ToggleRight,ToggleLeft,ToggleTissue,TaskVisible1,TaskVisible2,TaskVisible3,TaskVisible4,TaskVisible5,TaskVisible6,TaskVisible7,TaskVisible8,TaskVisible9,TaskVisible10,TaskVisible11,TaskVisible12,TaskVisible13,TaskVisible14,
Andi,Reflective,Intro,Standup,5.864203,9.484714,-0.6865832,1.216678,-0.1882477,-0.537774,1.017854,0.1378217,-0.2520508,0.916354,-0.01477265,358.6736,70.09792,351.836,-1.326,70.098,-8.164001,325.2322,62.15267,8.742981,-34.768,62.153,8.743,312.4943,84.69979,349.3488,-47.506,84.7,-10.651,1,708.7605,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,,
Andi,Reflective,Intro,Standup,5.979725,9.490446,-0.6845652,1.211419,-0.1890512,-0.5524072,1.023892,0.1242023,-0.24681,0.9077599,-0.03013349,359.6161,70.96752,351.9327,-0.384,70.968,-8.067,324.6377,65.87741,6.480846,-35.362,65.87701,6.481,310.33,87.53574,352.0314,-49.67,87.536,-7.969,1,708.7605,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,,
Andi,Reflective,Intro,Standup,6.113248,9.495893,-0.6825833,1.206457,-0.1896113,-0.5544881,1.016743,0.09578776,-0.240114,0.9026776,-0.04664946,1.130047,71.18327,351.8259,1.13,71.18301,-8.174001,326.4452,72.06219,3.793254,-33.555,72.062,3.793,309.1045,90.98528,353.3719,-50.895,90.985,-6.628,1,708.7605,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,,
Andi,Reflective,Intro,Standup,6.253936,9.497378,-0.6818988,1.205757,-0.1889387,-0.5423463,1.005471,0.05368948,-0.2373976,0.9018302,-0.05591655,1.617624,70.93401,352.1241,1.618,70.93401,-7.876,330.0802,80.90024,1.712247,-29.92,80.9,1.712,309.3339,92.52442,353.2144,-50.666,92.524,-6.786,1,708.7605,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,,
Andi,Reflective,Intro,Standup,6.380912,9.499202,-0.6805856,1.204844,-0.1891851,-0.5307397,1.000281,0.02312636,-0.238107,0.9035573,-0.05919194,2.00464,71.23378,352.3738,2.005,71.234,-7.626,331.8668,86.22137,1.484215,-28.133,86.221,1.484,308.6199,92.73637,353.8143,-51.38,92.73601,-6.186,1,708.7605,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,,
Andi,Reflective,Intro,Standup,6.511283,9.500435,-0.6799318,1.204123,-0.1890104,-0.521953,0.9994684,0.005006313,-0.24261,0.9067375,-0.05738044,2.325581,71.21774,352.5774,2.326,71.218,-7.423,332.7095,88.96448,1.041797,-27.291,88.964,1.042,307.7214,92.03872,354.4705,-52.279,92.039,-5.529,1,708.7605,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,,
Andi,Reflective,Intro,Standup,6.635619,9.501691,-0.6797408,1.203995,-0.1879185,-0.5192106,0.9998947,0.000813961,-0.2459202,0.9103258,-0.05492234,2.486352,71.05936,352.714,2.486,71.05901,-7.286,332.9316,89.47116,1.151922,-27.068,89.471,1.152,307.0018,91.42328,354.9978,-52.998,91.423,-5.002,1,708.7605,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,,
Andi,Reflective,Intro,Standup,6.758296,9.503566,-0.6799103,1.203262,-0.1863173,-0.5197692,1.001863,-0.001480579,-0.2466856,0.9103252,-0.05404067,2.765671,70.5769,352.8929,2.766,70.577,-7.107,332.5502,89.55481,1.142369,-27.45,89.55501,1.142,306.9339,91.12801,354.9898,-53.066,91.12801,-5.01,1,708.7605,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,,
Andi,Reflective,Intro,Standup,6.892474,9.5062,-0.6804981,1.203592,-0.1839476,-0.5195575,1.004272,-0.00250268,-0.2469743,0.9103322,-0.05241108,2.819559,69.90589,353.2695,2.82,69.90601,-6.73,332.0703,89.48511,0.9924089,-27.93,89.485,0.992,307.0424,90.82743,355.2012,-52.958,90.827,-4.799,1,708.7605,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,,
Andi,Reflective,Intro,Standup,7.018382,9.507801,-0.6807672,1.204013,-0.1826915,-0.5183616,1.004263,-0.002777815,-0.2473541,0.9106651,-0.05221105,2.531456,69.63921,353.5827,2.531,69.639,-6.417,332.1957,89.44868,0.9937748,-27.804,89.44901,0.994,306.9773,90.87978,354.9695,-53.023,90.88,-5.03,1,708.7605,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,,
